task_id,date_field,vendor,project_code,miles,unit_price,amount_currency,currency,hours
1,Feb-11-2026,Global CAD Solutions,TX-LONG-HAUL,20.6,38.22,$,€,28
2,Mar-12-2026,Global CAD Solutions,NC-RING,9.9,40.28,$,$,13
3,Jan-14-2026,Global CAD Solutions,OH-EXPANSION,10.2,38.41,$,£,14
4,Feb-27-2026,Global CAD Solutions,NC-RING,12.0,39.0,$,€,16
5,Mar-19-2026,Dominion Aluminum & Fasteners,NC-RING,20.7,42.39,$,$,28
6,Jan-10-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,12.6,38.53,$,£,17
7,Feb-04-2026,Global CAD Solutions,NC-RING,26.3,38.85,$,$,36
8,Mar-19-2026,Continental Drafting Ltd.,TN-CORRIDOR-FIBER,27.8,40.23,$,€,38
9,Jan-25-2026,Southfield GIS Inc.,VA-METRO-ROUTE,22.9,42.16,$,£,32
10,Feb-08-2026,Southfield GIS Inc.,PA-DARK-FIBER,13.8,41.51,$,$,19
11,Mar-17-2026,Global CAD Solutions,OH-EXPANSION,36.0,41.28,$,£,50
12,Jan-04-2026,Continental Drafting Ltd.,NC-RING,21.4,41.41,$,$,29
13,Feb-14-2026,Southfield GIS Inc.,TN-CORRIDOR-FIBER,38.8,38.35,$,€,54
14,Mar-11-2026,Global CAD Solutions,FL-BACKHAUL,19.2,40.24,$,£,26
15,Jan-27-2026,Global CAD Solutions,TN-CORRIDOR-FIBER,38.2,40.13,$,€,53
16,Feb-02-2026,Continental Drafting Ltd.,FL-BACKHAUL,30.4,40.91,$,€,42
17,Mar-10-2026,Continental Drafting Ltd.,FL-BACKHAUL,20.3,41.01,$,$,28
18,Jan-12-2026,Southfield GIS Inc.,TX-LONG-HAUL,27.5,40.22,$,$,38
19,Feb-05-2026,Global CAD Solutions,FL-BACKHAUL,15.9,39.76,$,£,22
20,Mar-06-2026,Continental Drafting Ltd.,OH-EXPANSION,20.9,39.25,$,$,29
21,Jan-28-2026,Continental Drafting Ltd.,NC-RING,16.9,39.87,$,£,23
22,Feb-08-2026,Dominion Aluminum & Fasteners,TX-LONG-HAUL,10.7,38.68,$,€,14
23,Mar-01-2026,Global CAD Solutions,OH-EXPANSION,34.6,38.82,$,£,48
24,Jan-05-2026,Dominion Aluminum & Fasteners,OH-EXPANSION,25.1,40.74,$,£,35
